ID,MIN_TEMPERATURE,MAX_TEMPERATURE,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST
1012710.2016.8.23,12,21.8,16.9,0,0
1012710.2016.8.24,12.6,24,18.3,0,0
1012710.2016.8.25,13.5,24.6,19.1,0,0
1012710.2016.8.26,14,27.7,20.9,0,0
1012710.2016.8.27,13.3,21,17.2,0,54
1012710.2016.8.28,12.6,15.4,14,1.8,44
1012710.2016.8.29,11.7,20.9,16.3,0.2,33
1012710.2016.8.30,12.5,18.7,15.6,0,0
1012710.2016.8.31,12.7,16.6,14.7,1.6,0
1012710.2016.9.1,12.7,16.7,14.7,1.8,37
1012710.2016.9.2,11.5,17.7,14.6,9.4,0
1012710.2016.9.3,12.4,15.6,14,0,0
1012710.2016.9.4,10,18.2,14.1,0,0
1012710.2016.9.5,11.6,14.1,12.9,2,33
1012710.2016.9.6,12.1,15,13.6,0.6,0
1012710.2016.9.7,12.1,16.7,14.4,1.4,37
1012710.2016.9.8,11.4,18.2,14.8,0.2,0
1012710.2016.9.9,9.4,16.2,12.8,0,0
1012710.2016.9.10,11.9,21.7,16.8,0,44
1012710.2016.9.11,12.1,16,14.1,0,35
1012710.2016.9.12,10.9,19,15,0,0
1012710.2016.9.13,10.8,17.5,14.2,0,0
1012710.2016.9.14,10.3,15.9,13.1,0,0
1012710.2016.9.15,9.7,16.5,13.1,0,0
1012710.2016.9.16,11.7,14.6,13.2,0,41
1012710.2016.9.17,11.9,18.1,15,13.6,52
1012710.2016.9.18,11.7,16.1,13.9,0.2,0
1012710.2016.9.19,11.2,16.8,14,7,39
1012710.2016.9.20,11.4,15.2,13.3,0,0
1012710.2016.9.21,8.9,16.5,12.7,0,0
1012710.2016.9.22,8.6,17.8,13.2,0,37
1012710.2016.9.23,11,15.6,13.3,1.4,0
1012710.2016.9.24,9.7,15.3,12.5,0,0
1012710.2016.9.25,11.8,19.3,15.6,0,0
1012710.2016.9.26,10.4,18,14.2,0,0
1012710.2016.9.27,11.1,16.6,13.9,0,33
1012710.2016.9.28,8.4,14.5,11.5,0,0
1012710.2016.9.29,7.9,11.9,9.9,0,0
1012710.2016.9.30,6.2,13.2,9.7,0,0
1012710.2016.10.1,10.1,13.6,11.9,0.2,0
1012710.2016.10.2,10,13.8,11.9,0,0
1012710.2016.10.3,8.1,14.3,11.2,2.6,0
1012710.2016.10.4,10.3,14.1,12.2,0.8,0
1012710.2016.10.5,11,17.3,14.2,2.8,0
1012710.2016.10.6,10.7,12.7,11.7,4,35
1012710.2016.10.7,11,15.2,13.1,0.2,72
1012710.2016.10.8,9.9,12.4,11.2,18.2,0
1012710.2016.10.9,7.6,13.3,10.5,0.2,0
1012710.2016.10.10,7.3,13.1,10.2,0,33
1012710.2016.10.11,7.6,13.6,10.6,0,35
1012710.2016.10.12,5.7,13.9,9.8,1.2,0
1012710.2016.10.13,9.3,13.2,11.3,17.2,0
1012710.2016.10.14,10.6,14.2,12.4,17.8,69
1012710.2016.10.15,9.8,13.3,11.6,5.8,50
1012710.2016.10.16,9.1,13.7,11.4,2,0
1012710.2016.10.17,9.9,13.9,11.9,3.6,0
1012710.2016.10.18,10.4,,,,0
1012710.2016.10.19,8.2,12.4,10.3,4.2,0
1012710.2016.10.20,8.4,14.7,11.6,22.4,43
1012710.2016.10.21,7.8,12.3,10.1,6.8,0
1012710.2016.10.22,6.1,11.8,9,0.2,0
1012710.2016.10.23,9.6,13.4,11.5,0,0
1012710.2016.10.24,11.2,14.7,13,0.2,32
1012710.2016.10.25,9.2,16.3,12.8,0.2,0
1012710.2016.10.26,9.1,11.2,10.2,5.8,33
1012710.2016.10.27,9.2,12.4,10.8,2,0
1012710.2016.10.28,9.5,15.2,12.4,0.6,0
1012710.2016.10.29,9.7,11.9,10.8,0.4,33
1012710.2016.10.30,7.9,11.9,9.9,2.6,39
1012710.2016.10.31,9.3,12.6,11,3.8,41
1012710.2016.11.1,8.8,12,10.4,9.8,0
1012710.2016.11.2,10,14.4,12.2,6.2,46
1012710.2016.11.3,8.4,15.6,12,0,0
1012710.2016.11.4,8.1,13.3,10.7,0.2,0
1012710.2016.11.5,10.5,14,12.3,22.4,0
1012710.2016.11.6,9.2,12.9,11.1,0.8,0
1012710.2016.11.7,10.5,14.1,12.3,0.8,0
1012710.2016.11.8,10.5,16.3,13.4,0,0
1012710.2016.11.9,10.9,13.8,12.4,9,0
1012710.2016.11.10,9.6,14.1,11.9,0,0
1012710.2016.11.11,10.5,13.2,11.9,0,0
1012710.2016.11.12,10.5,13.6,12.1,2.2,70
1012710.2016.11.13,8.8,11.4,10.1,7.4,0
1012710.2016.11.14,7.2,12.1,9.7,0.2,0
1012710.2016.11.15,7.8,11.6,9.7,2.8,44
1012710.2016.11.16,4.7,9.9,7.3,2.2,0
1012710.2016.11.17,4.9,10,7.5,0,0
1012710.2016.11.18,6.4,9.8,8.1,0,32
1012710.2016.11.19,8.9,11.5,10.2,0,0
1012710.2016.11.20,9.2,11.8,10.5,1,0
1012710.2016.11.21,6.3,11.8,9.1,0,35
1012710.2016.11.22,6.2,10.3,8.3,8.4,0
1012710.2016.11.23,7,,,,0
1012710.2016.11.24,7.4,10.3,8.9,6.8,37
1012710.2016.11.25,4.1,8.8,6.5,3.6,35
1012710.2016.11.26,5.2,7.8,6.5,9.4,32
1012710.2016.11.27,3,8.5,5.8,6,39
1012710.2016.11.28,3.4,10,6.7,0,32
1012710.2016.11.29,5.8,9.7,7.8,0.6,0
1012710.2016.11.30,7,10.8,8.9,4.6,57
1012710.2016.12.1,2.2,7.9,5.1,0.6,0
1012710.2016.12.2,4.2,,,,41
1012710.2016.12.3,6.4,9.7,8.1,7.8,44
1012710.2016.12.4,2.6,7.6,5.1,0.4,35
1012710.2016.12.5,0.9,6,3.5,8.6,35
1012710.2016.12.6,0.7,3.8,2.3,4.2,44
1012710.2016.12.7,-1.2,1.6,0.2,,43
1012710.2016.12.8,0,2.6,1.3,,44
1012710.2016.12.9,-0.8,4.8,2,,33
1012710.2016.12.10,1.9,6.3,4.1,10,0
1012710.2016.12.11,3.8,7.3,5.6,14.2,54
1012710.2016.12.12,0.6,4.5,2.6,4.2,43
1012710.2016.12.13,-0.1,2.8,1.4,,32
1012710.2016.12.14,-0.5,1.7,0.6,,37
